value,dataset_name,description,expected_decision,mean,std,n
1.5838390162025096,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.6649066512292625,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.0398448626369172,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.538515610421771,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.0720044345280937,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.45452687277471693,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.6693740734549142,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.9636892107910069,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.9628739178697765,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
2.6812177841723313,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.5000766105487999,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2876187997093944,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
2.1055075493770565,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
3.113429565272544,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.8169325778392639,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2785347892394738,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.3296027037181248,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.1026770067328775,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.9517788223767215,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2435717650634777,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.2819225073017628,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.4064021054984606,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.0651215795323008,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.8947262723918294,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
2.782726208893145,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.7135755156059621,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.8174725174838999,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
2.706825784359118,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.6596600499943265,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.759528341634359,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.9291243349523111,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.522520585043863,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.1094908913598678,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.5239742832796005,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.7663745335350316,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.7380990741279589,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.9621253622556525,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2372879278182163,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.232571796460023,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.41147546785878175,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.7022833446796137,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.1346048301023055,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.9982384626832526,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2486951968926463,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.7343999073911787,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.262725721792521,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.9603301013180914,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.2983903669343082,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
0.952221480922347,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
3.1149632680868082,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.5597390960304836,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
1.332253954533472,skewed,"Log-normal distribution (μ=0, σ=0.5)",Reject normality,1.1814161748091927,0.6566825898254866,350
